Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
2/3/2017,19.66,52.61,460.25,372.75,142.2,1231.9,1026.75,21002.97,1.64,323704,3.156,35.04,66.76,102.2,0.7571
3/3/2017,19.52,53.33,462,374.75,141.25,1225.5,1027,21005.71,1.65,327272,3.1143,35.02,66.75,101.54,0.7594
6/3/2017,19.15,53.2,464.25,372.75,139.65,1224.5,1026.75,20954.34,1.67,327043,3.1383,35.07,66.65,101.64,0.7576
7/3/2017,18.4,53.14,463.25,369.5,139,1215.1,1014.75,20924.76,1.68,310279,3.1187,35.11,66.61,101.81,0.7584
8/3/2017,18.4,50.28,457,365.25,140.05,1208.5,1011,20855.73,1.65,317057,3.1624,35.29,66.76,102.07,0.7526
9/3/2017,18,49.28,453.25,359.75,138.75,1202.4,1000.25,20858.19,1.62,347983,3.1929,35.37,66.67,101.85,0.7504
10/3/2017,18.22,48.49,445.25,358,139.65,1200.7,996.25,20902.98,1.60,348218,3.138,35.31,66.53,101.25,0.754
13/3/2017,18.18,48.4,432.5,354.5,140.5,1202.4,996.25,20881.48,1.58,348198,3.1523,35.28,66.16,101.31,0.7567
14/3/2017,18.16,47.72,433.25,353.75,139.6,1201.9,987.25,20837.37,1.58,339590,3.1683,35.3,65.75,101.7,0.7558
15/3/2017,18.23,48.86,447.25,363.5,139.2,1200.1,998,20950.1,1.58,327210,3.1033,35.06,65.62,100.74,0.7707
16/3/2017,18.25,48.75,450,366,139.75,1226.5,1001.5,20934.55,1.59,314209,3.118,34.91,65.36,100.36,0.7677
17/3/2017,18.17,48.78,453.5,367.5,140.8,1229.8,1000,20914.62,1.5989,267530,3.0911,34.83,65.45,100.3,0.7698
20/3/2017,17.7,48.22,445.25,363.5,144,1233.6,999.5,20905.86,1.6113,280240,3.072,34.65,65.32,100.41,0.7729
21/3/2017,17.29,47.34,438.25,361.25,143.5,1246.1,1001.5,20668.01,1.6052,254809,3.0878,34.72,65.31,99.813,0.7688
